Name,Description,Status,Location,Location URL,Repository URL,Tools,Created At,Updated At
CourtContext,"A premium newsletter and analytics dashboard specifically for the surging niche of female-focused sports betting and analytics.

Market Analysis: Medium market (Score: 8/10)
Synergy: Utilizes your 'Modern Sports Intelligence' and 'Hooplibrary' foundations for an underserved demographic.",active,AI Recommended,,,,2026-01-19,2026-01-19
SquadSweat,"A platform that gamifies health competitions for corporate teams using the structure from your Step Tracking and Competition Tracker projects.

Market Analysis: Large market (Score: 8/10)
Synergy: Scales your 'Competition Tracker' and 'Consolidated Health Tracker' into a B2B model.",active,AI Recommended,,,,2026-01-19,2026-01-19
ArchivePulse,"A specialized CRM for the high-end memorabilia market that tracks the provenance and current owners of rare sports and entertainment physical assets.

Market Analysis: Medium market (Score: 6/10)
Synergy: Leverages your tracking expertise in basketball (Hooplibrary) and celebrity culture.",active,AI Recommended,,,,2026-01-19,2026-01-19
AutoDoc Flow,"An AI tool that watches technical tutorials and creates interactive, step-by-step checklists that sync with your personal productivity tools.

Market Analysis: Large market (Score: 9/10)
Synergy: Evolved version of your 'How to feedback loop' and Zapier Workflow automation projects.",active,AI Recommended,,,,2026-01-19,2026-01-19
HostHabit,"A smart inventory platform for short-term rental owners to track linens, kitchen supplies, and maintenance schedules with automatic replenishment alerts.

Market Analysis: Medium market (Score: 7/10)
Synergy: Bridges the gap between your Rental Apps, Home Tracking, and Laundry/Closet sorting concepts.",active,AI Recommended,,,,2026-01-19,2026-01-19
TunnelStyle AI,"An AI-powered computer vision app that identifies apparel and accessories worn by athletes during post-game press conferences and tunnel walks, linking directly to marketplaces.

Market Analysis: Large market (Score: 8/10)
Synergy: Combines your interest in NBA fashion (ShoeSnag) with your desire for automated tracking and sports intel.",active,AI Recommended,,,,2026-01-19,2026-01-19
Celebrity fantasy tracker,celebrity fantasy tracker,active,Chatgpt,,,,2026-01-18,2026-01-18
How to feedback loop,Take how to videos and compare against the manuals produced,active,Chatgpt,,,,2026-01-18,2026-01-18
ShoeSnag,Generate all shoes from NBA games,active,chatgpt,,,,2026-01-18,2026-01-18
Sock match ,Sock match ,active,Concept ,,,,2026-01-17,2026-01-17
Closet sort ,Closet sorter ,active,Concept ,,,,2026-01-17,2026-01-17
Laundry sorter ,Laundry sort ,active,Concept ,,,,2026-01-17,2026-01-17
Classic Lit List,Classic literature reading list. Lovable prototype. ,active,Media,,,,2026-01-16,2026-01-19
Xavier Transport Novel,Fiction writing project,in-review,Clean Up,,,,2026-01-16,2026-01-19
Competition Tracker,Track fitness competitions. This was used for a step challenge across a set of users.,active,Exercise,,,,2026-01-16,2026-01-19
Enhanced Health App,Advanced health tracking app,in-review,Attempts,,,,2026-01-16,2026-01-17
Email Context,Email context management,in-review,Concepts from Others,,,,2026-01-16,2026-01-16
Zapier Workflow,Automation workflow ideas,in-review,Concepts from Others,,,,2026-01-16,2026-01-16
Real Estate Excel,Real estate spreadsheet tool,in-review,Concepts from Others,,,,2026-01-16,2026-01-16
Book Tracker,Personal book tracking app,active,Big Projects,,,,2026-01-16,2026-01-16
Home Tracking,Home maintenance tracking,active,Big Projects,,,,2026-01-16,2026-01-16
Rental Apps,Rental property applications,active,Big Projects,,,,2026-01-16,2026-01-16
Celebrity Tracker,Celebrity news and tracking,active,Big Projects,,,,2026-01-16,2026-01-16
Modern Sports Intelligence,Sports analytics platform,active,Big Projects,,,,2026-01-16,2026-01-16
Pulse,Major project - Pulse,active,Big Projects,,,,2026-01-16,2026-01-16
Deep Seats,Major project - Deep Seats,active,Big Projects,,,,2026-01-16,2026-01-16
Venn with Friends,Venn diagram game with friends,active,Games,,,,2026-01-16,2026-01-16
AI Library,AI resources and learning library,active,Education,,,,2026-01-16,2026-01-16
Hondocountry.com,Personal website project,active,Personal,,,,2026-01-16,2026-01-16
Hooplibrary,Basketball stats and library,active,Sports,,,,2026-01-16,2026-01-16
Party Tracker,Track and plan events/parties,active,Events,,,,2026-01-16,2026-01-16
Country Albums,Country music album tracking,active,Media,,,,2026-01-16,2026-01-16
Pitchfork Rap,Pitchfork-rated rap albums,active,Media,,,,2026-01-16,2026-01-16
Book Club,Book club selections and discussions,active,Media,,,,2026-01-16,2026-01-16
Criterion Films,Criterion Collection tracking,active,Media,,,,2026-01-16,2026-01-16
Sci-Fi Books/Movies,Track sci-fi media consumption,active,Media,,,,2026-01-16,2026-01-16
Consolidated Health Tracker,All-in-one health tracking,active,Exercise,,,,2026-01-16,2026-01-16
Schafer Cookbook,Family cookbook project,in-review,Clean Up,,,,2026-01-16,2026-01-26
Daily/Weekly Goals Tracker,Productivity tool for tracking daily and weekly goals; shipped as Morning Groove on Lovable.,active,Productivity,https://morning-groove-log.lovable.app,,,2026-01-16,2026-03-23
Morning Groove,Daily habit and morning-routine tracker built in Lovable (daily goals / check-ins).,active,Lovable,https://morning-groove-log.lovable.app,,,2026-03-23,2026-03-23
Step Tracking,Track daily steps and movement,archived,Exercise,,,,2026-01-16,2026-01-17
Local Event Management Tool,Local event management tool to plan and execute events,active,Big Projects,,,,2026-01-16,2026-01-19
